rep	test_id	descripcion	alfabeto	longitud	tipo	password	hash	programa	encontrado	intentos	tiempo_s	mh_s
2	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	CPU	no	11881376	1.55	7.6856
2	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	GPU	no	11881376	0.01	1716.23
2	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	CPU	si	8478226	1.14	7.4415
2	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	GPU	si	56800235776	30.86	1840.42
2	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	CPU	no	14776336	1.83	8.0768
2	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	GPU	no	14776336	0.01	1824.40
3	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	CPU	si	123457	0.02	6.3090
3	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	GPU	si	1000000	0.00	1317.31
3	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	CPU	no	1000000	0.14	7.2582
3	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	GPU	no	1000000	0.00	1282.00
3	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	CPU	si	6508841	0.85	7.6644
3	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	GPU	si	11881376	0.01	1744.01
3	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	CPU	no	11881376	1.56	7.6142
3	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	GPU	no	11881376	0.01	1739.99
3	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	CPU	si	8478226	1.14	7.4311
3	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	GPU	si	56800235776	30.98	1833.32
3	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	CPU	no	14776336	1.83	8.0795
3	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	GPU	no	14776336	0.01	1831.05
4	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	CPU	si	123457	0.02	5.7856
4	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	GPU	si	1000000	0.00	1282.32
4	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	CPU	no	1000000	0.14	7.1673
4	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	GPU	no	1000000	0.00	1298.27
4	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	CPU	si	6508841	0.85	7.6871
4	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	GPU	si	11881376	0.01	1746.05
4	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	CPU	no	11881376	1.54	7.7239
4	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	GPU	no	11881376	0.01	1744.03
4	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	CPU	si	8478226	1.16	7.2993
4	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	GPU	si	56800235776	31.02	1831.33
4	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	CPU	no	14776336	1.81	8.1785
4	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	GPU	no	14776336	0.01	1826.74
5	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	CPU	si	123457	0.02	6.8312
5	T1	num len6 encontrado	num	6	encontrado	654321	c33367701511b4f6020ec61ded352059	GPU	si	1000000	0.00	1306.48
5	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	CPU	no	1000000	0.13	7.4525
5	T2	num len6 no_encontrado (hash de abcdef)	num	6	no_encontrado	abcdef	e80b5017098950fc58aad83c8c14978e	GPU	no	1000000	0.00	1312.33
5	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	CPU	si	6508841	0.85	7.6724
5	T3	lower len5 encontrado	lower	5	encontrado	amigo	d94729ce13f4ee6395bfc6f1080cc986	GPU	si	11881376	0.01	1740.19
5	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	CPU	no	11881376	1.55	7.6790
5	T4	lower len5 no_encontrado (hash de amigo1)	lower	5	no_encontrado	amigo1	6a0200fb6c5a16966766a660df7f5cde	GPU	no	11881376	0.01	1743.86
5	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	CPU	si	8478226	1.14	7.4353
5	T5	alnum len6 encontrado	alnum	6	encontrado	zzzz00	6e7c381877a55d80afe68cb1e9bf1ad5	GPU	si	56800235776	31.03	1830.33
5	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	CPU	no	14776336	1.81	8.1725
5	T6	alnum len4 no_encontrado (hash de abcde)	alnum	4	no_encontrado	abcde	ab56b4d92b40713acc5af89985d4b786	GPU	no	14776336	0.01	1826.00
